instruction,action
"""Approaching the roundabout, take the second exit and continue straight ahead until you reach the traffic lights at the pedestrian crossing. Proceed with caution.""","['Take Exit', 'Go Straight']"
"""Approach the roundabout and take the second exit, heading towards the residential area. Watch out for pedestrians crossing the street and yield as necessary.""",['Take Exit']
"""Approaching the roundabout, yield to oncoming traffic and take the second exit to continue towards the business district. Signal appropriately before exiting the roundabout.""",['Take Exit']
"""Approaching the traffic circle, yield to any incoming vehicles and take the second exit, staying in the right lane to continue onto Main Street.""",['Take Exit']
"""Approaching the roundabout, take the second exit and continue for 500 meters until you reach the traffic lights. Make a left turn once the signal turns green.""",['Take Exit']
"4. ""Approaching the roundabout, yield to oncoming traffic, and take the second exit to continue on the main road. Look out for the statue of the town's founder on your right as a reference point.""",['Take Exit']
"""Proceed through the traffic circle and take the second exit onto Maple Street. Look out for the school crossing sign and prepare to yield to pedestrians in the crosswalk.""",['Take Exit']
"""Take the next left after the traffic light and continue for two miles until you reach a roundabout. Take the second exit in the roundabout to stay on the main road, then look for the blue building on your right as a landmark for your upcoming turn.""",['Turn Left']
"""Approaching the roundabout, yield to oncoming traffic from the left, then take the second exit to continue on the main road. You will pass a park on your right before reaching the next traffic light.""",['Take Exit']
"""Approaching the roundabout, take the second exit and continue straight on Main Street. Look out for the clock tower on your right as a landmark for the upcoming left turn onto Maple Avenue.""",['Take Exit']
"""Approaching the roundabout, yield to any oncoming traffic and take the second exit towards the city center. Look out for the statue of the town's founder on your right as you navigate the roundabout.""",['Take Exit']
