instruction,action
"""Navigate straight through the city center.""",['Straight']
"""Stay on the same path in a straight line.""",['Straight']
"""Go straight and merge onto the highway.""",['Straight']
"""Go straight ahead on the current road.""",['Straight']
"""Keep moving straight along this street.""",['Straight']
"""Head straight towards the upcoming landmark.""",['Straight']
"""Head straight toward the next traffic light.""",['Straight']
"""Navigate straight past the crossroads.""",['Straight']
"""Carry on straight through the next intersection.""",['Straight']
"""Go forward in a straight line.""",['Straight']
"""Maintain a straight path on this road.""",['Straight']
"""Carry on straight through the winding road.""",['Straight']
"""Drive straight ahead for the next few miles.""",['Straight']
"""Travel straight under the flyover.""",['Straight']
"""Go straight until you reach the next major intersection.""",['Straight']
"""Drive straight and cross the railroad tracks.""",['Straight']
"""Continue straight through the upcoming turn.""",['Straight']
"""Keep the same direction and go straight.""",['Straight']
"""Stay on the same road without changing direction.""",['Straight']
"""Navigate straight after the traffic light.""",['Straight']
"""Drive straight through the next intersection.""",['Straight']
"""Proceed straight through the series of upcoming roundabouts.""",['Straight']
"""Stay on this road and continue straight ahead.""",['Straight']
"""Keep going straight through the residential area.""",['Straight']
"""Continue straight past the upcoming roundabout.""",['Straight']
"""Drive straight until you reach the roundabout.""",['Straight']
"""Stay on the path and drive straight through the next curve.""",['Straight']
"""Make no turns and proceed straight ahead.""",['Straight']
"""Proceed straight on the straight road.""",['Straight']
"""Navigate the roundabout and head straight out.""",['Straight']
"""Proceed straight as the road gradient changes.""",['Straight']
"""Continue straight and go under the overpass.""",['Straight']
"""Head straight towards the open highway.""",['Straight']
"""Follow the road straight until you reach the park.""",['Straight']
"""Stay on this road in a straight line.""",['Straight']
"""Proceed straight through the residential neighborhood.""",['Straight']
"""No need to turn, just keep going straight.""",['Straight']
"""Keep moving straight ahead on the main road.""",['Straight']
"""Proceed straight until you see the next landmark.""",['Straight']
"""Drive in a straight line down the boulevard.""",['Straight']
"""Keep moving forward without any changes in direction.""",['Straight']
"""Follow the road straight as it bends.""",['Straight']
"""Proceed straight ahead on this street.""",['Straight']
"""Drive in a straight direction on this road.""",['Straight']
"""Head straight between the two buildings.""",['Straight']
"""Drive straight ahead on this route.""",['Straight']
"""Continue straight until the road ends.""",['Straight']
"""Go straight past the upcoming street.""",['Straight']
"""Continue on this road for two miles.""",['Straight']
"""Keep going straight along this section of road.""",['Straight']
"""Stay on this path straight through downtown.""",['Straight']
"""Drive straight and merge onto the freeway.""",['Straight']
"""Carry on straight through the upcoming intersection.""",['Straight']
"""Proceed straight along the current route.""",['Straight']
"""Maintain your direction by going straight.""",['Straight']
"""Go straight despite the upcoming road closure.""",['Straight']
"""Head straight through the upcoming tunnel.""",['Straight']
"""Keep going straight until you reach the main highway.""",['Straight']
"""Continue driving straight without turning.""",['Straight']
"""Proceed straight and pass the red brick building.""",['Straight']
"""Proceed straight without altering your course.""",['Straight']
"""Drive straight and merge into the left lane.""",['Straight']
"""Keep your vehicle moving straight.""",['Straight']
"""Keep moving straight along the riverfront.""",['Straight']
"""Continue onward without any turns.""",['Straight']
"""Go straight through the rural countryside.""",['Straight']
"""Make sure to drive straight despite distractions.""",['Straight']
"""Continue straight ahead at the fork.""",['Straight']
"""Keep straight along the business district.""",['Straight']
"""Go straight until you reach the next highway exit.""",['Straight']
"""Drive in a straight line without turning.""",['Straight']
"""Continue straight on this one-way street.""",['Straight']
"""Make sure to go straight after the fork in the road.""",['Straight']
"""Keep going straight without any turns.""",['Straight']
"""Maintain your direction and go straight ahead.""",['Straight']
"""Keep going straight until you see the orange building.""",['Straight']
"""Continue driving straight past the next turn.""",['Straight']
"""Stay straight to remain on the main road.""",['Straight']
"""Stay on the road and go straight ahead.""",['Straight']
"""Stay on this street and go straight ahead.""",['Straight']
"""Go straight onto the bridge.""",['Straight']
"""Stay in your lane and drive straight through the tunnel.""",['Straight']
"""Drive straight until you reach the stop sign.""",['Straight']
"""Stay on the current road without deviation.""",['Straight']
"""Stay in the middle lane and go straight.""",['Straight']
"""Proceed straight through the underpass.""",['Straight']
"""Go straight through the traffic circle.""",['Straight']
"""Travel straight on the highway for ten more miles.""",['Straight']
"""Keep going straight along this road.""",['Straight']
"""Proceed directly forward without turning.""",['Straight']
"""Drive straight until you see the next landmark.""",['Straight']
"""Drive straight until you pass the shopping mall.""",['Straight']
"""Stay straight as the road widens.""",['Straight']
"""Keep straight ahead at the next junction.""",['Straight']
"""Drive straight past the road construction.""",['Straight']
"""Continue straight until you see the next exit.""",['Straight']
"""Drive straight past the church.""",['Straight']
"""Stay on this path straight ahead.""",['Straight']
"""Go straight despite the upcoming roadworks.""",['Straight']
"""Go straight along the scenic route.""",['Straight']
"""Remain straight at the yellow light.""",['Straight']
"""Follow the road ahead and drive straight through.""",['Straight']
"""Move straight until you reach the next landmark.""",['Straight']
"""Travel straight along the coastal highway.""",['Straight']
"""Continue straight on this road for another 2 miles.""",['Straight']
"""Drive straight and merge into the right lane.""",['Straight']
"""Go straight through the traffic circle.""",['Straight']
"""Stay straight through the residential neighborhood.""",['Straight']
"""Stay on the same course without deviation.""",['Straight']
"""Keep going straight until you reach the bridge.""",['Straight']
"""Continue straight under the highway overpass.""",['Straight']
"""Keep straight on the tree-lined avenue.""",['Straight']
"""Drive straight ahead through the green light.""",['Straight']
"""Go straight through the countryside.""",['Straight']
"""Stay on the main road and go straight ahead.""",['Straight']
"""Maintain a straight trajectory.""",['Straight']
"""Drive straight past the landmark.""",['Straight']
"""Go straight ahead at the upcoming crossroads.""",['Straight']
"""Stay straight at the crosswalk.""",['Straight']
"""Navigate the highway and head straight ahead.""",['Straight']
"""Keep to the right and drive straight.""",['Straight']
"""Keep driving straight for the next few miles.""",['Straight']
"""Continue straight down the avenue.""",['Straight']
"""Keep to the straight route until the next instruction.""",['Straight']
"""Travel straight along this street.""",['Straight']
"""Remain in the same direction without changing lanes.""",['Straight']
"""Turn off the radio and focus on driving straight.""",['Straight']
"""Keep following the road ahead.""",['Straight']
"""Head straight past the upcoming stop sign.""",['Straight']
"""Maintain a straight course for the next mile.""",['Straight']
"""Carry on straight through the tunnel.""",['Straight']
"""Head straight past the shopping district.""",['Straight']
"""Stay on this road and keep going straight.""",['Straight']
"""Keep moving straight through the junction.""",['Straight']
"""Stay on this street and continue straight ahead.""",['Straight']
"""Keep driving straight without turning.""",['Straight']
"""Proceed straight across the intersection.""",['Straight']
"""Navigate straight through the busy downtown area.""",['Straight']
"""Continue straight on the current road.""",['Straight']
"""Keep to the straight route.""",['Straight']
"""Drive straight along this stretch of road.""",['Straight']
"""Head straight towards the sunset.""",['Straight']
"""Move forward without deviating from the current path.""",['Straight']
"""Keep moving forward.""",['Straight']
"""Go straight through the industrial zone.""",['Straight']
"""Continue straight on this route without any turns.""",['Straight']
"""Keep going straight until you pass the next landmark.""",['Straight']
"""Stay on the same path in a straight line.""",['Straight']
"""Remain on the same path and drive straight through the bend.""",['Straight']
"""Drive straight for the next few kilometers.""",['Straight']
"""Follow the road as it goes straight.""",['Straight']
"""Move forward in a straight line.""",['Straight']
"""Proceed straight past the shopping mall on your right.""",['Straight']
"""Maintain your current course and go straight.""",['Straight']
"""Follow the signs and stay straight ahead.""",['Straight']
"""Proceed straight under the pedestrian bridge.""",['Straight']
"""Maintain a safe distance and go straight ahead.""",['Straight']
"""Keep going straight without turning.""",['Straight']
"""Stay on the current path without veering off.""",['Straight']
"""Proceed straight on the road with the roadworks.""",['Straight']
"""Follow the road straight until you reach the next landmark.""",['Straight']
"""Stay on this street and proceed straight ahead.""",['Straight']
"""Drive directly ahead without veering off.""",['Straight']
"""Keep your vehicle on a straight trajectory.""",['Straight']
"""Continue straight ahead on this street.""",['Straight']
"""Stay on this road and keep going straight.""",['Straight']
"""Drive straight across the railroad tracks.""",['Straight']
"""Continue driving straight ahead for the next mile.""",['Straight']
"""Proceed straight on the road marked with signs.""",['Straight']
"""Stay on this path until you reach the next junction.""",['Straight']
"""Carry on straight through the construction zone.""",['Straight']
"""Head straight past the upcoming highway exit.""",['Straight']
"""Stay on the path and move straight ahead.""",['Straight']
"""Proceed straight through the next traffic signal.""",['Straight']
"""Stay straight at the fork in the road.""",['Straight']
"""Drive straight ahead at the upcoming crossroads.""",['Straight']
"""Proceed straight through the traffic circle ahead.""",['Straight']
"""Proceed straight through the next series of intersections.""",['Straight']
"""Travel straight at the crossroads.""",['Straight']
"""Drive straight for another 5 kilometers.""",['Straight']
"""Proceed straight at the upcoming stop sign.""",['Straight']
"""Stay on the road and proceed straight ahead.""",['Straight']
"""Follow the road straight through the intersection.""",['Straight']
"""Drive straight past the scenic overlook.""",['Straight']
"""Stay on the same path.""",['Straight']
"""Stay in the right lane and continue straight.""",['Straight']
"""Remain straight at the flashing light.""",['Straight']
"""Drive straight through the upcoming junction.""",['Straight']
"""Stay focused and maintain""",['Straight']
"""Keep moving straight as the road widens.""",['Straight']
"""Stay on the current path and go straight.""",['Straight']
"""Drive straight along the boulevard.""",['Straight']
"""Go straight on the scenic route.""",['Straight']
"""Keep going straight until you reach the highway.""",['Straight']
"""Remain straight on the main thoroughfare.""",['Straight']
"""Maintain a straight course on this avenue.""",['Straight']
"""Stay on this road for a straight path.""",['Straight']
"""Keep moving straight until you reach the next intersection.""",['Straight']
"""Proceed straight through the roundabout.""",['Straight']
"""Drive ahead until you reach the highway exit.""",['Straight']
"""Drive straight through the city center.""",['Straight']
"""Head straight past the shopping center.""",['Straight']
"""Drive straight and turn right at the traffic lights.""",['Straight']
"""Continue driving straight without deviation.""",['Straight']
"""Drive straight until you reach the next set of traffic lights.""",['Straight']
"""Drive straight and cross over the highway.""",['Straight']
"""Head straight towards the highway entrance.""",['Straight']
"""Keep moving forward and stay in the middle lane.""",['Straight']
"""Keep going straight at the fork.""",['Straight']
"""Remain on the road ahead.""",['Straight']
"""Stay on this road for a straight journey.""",['Straight']
"""Drive straight toward the mountains.""",['Straight']
"""Drive without turning, just go straight.""",['Straight']
"""Continue in a straight line through the avenue.""",['Straight']
"""Maintain a straight course through the town.""",['Straight']
"""Proceed straight past the scenic viewpoint.""",['Straight']
"""Drive straight through the industrial district.""",['Straight']
"""Drive straight ahead without any detours.""",['Straight']
"""Advance ahead without any turns.""",['Straight']
"""Stay on the road without any deviations.""",['Straight']
"""Proceed straight through the industrial zone.""",['Straight']
"""Proceed straight at the fork in the road.""",['Straight']
"""Travel straight down the narrow street.""",['Straight']
"""Continue straight on this road without any turns.""",['Straight']
"""Drive straight until the next turn.""",['Straight']
"""Continue straight on the road ahead.""",['Straight']
"""Proceed straight on the road with the speed limit sign.""",['Straight']
"""Go straight under the underpass.""",['Straight']
"""Follow the road straight past the shopping center.""",['Straight']
"""Maintain a straight course on this street.""",['Straight']
"""Follow the road straight without deviation.""",['Straight']
"""Stay on this road without any detours.""",['Straight']
"""Continue going straight despite the detour.""",['Straight']
"""Stay on this road without any deviations.""",['Straight']
"""Head straight past the next set of lights.""",['Straight']
"""Head straight towards the upcoming fork in the road.""",['Straight']
"""Continue straight without any alterations.""",['Straight']
"""Move straight through the upcoming crossroads.""",['Straight']
"""Keep going straight on this avenue.""",['Straight']
"""Travel straight until you reach the T-junction.""",['Straight']
"""Proceed straight and turn left at the intersection.""",['Straight']
"""Drive straight ahead and cross the railroad tracks.""",['Straight']
"""Proceed without turning.""",['Straight']
"""Keep going straight until you cross the railroad tracks.""",['Straight']
"""Continue on this road without any diversions.""",['Straight']
"""Stay on the current road and drive straight.""",['Straight']
"""Travel straight along the side street.""",['Straight']
"""Maintain your course straight down the street.""",['Straight']
"""Go straight along the upcoming avenue.""",['Straight']
"""Drive straight as the road ascends.""",['Straight']
"""Navigate straight through the upcoming sharp curve.""",['Straight']
"""Go straight past the historical landmark.""",['Straight']
"""Stay in the right lane and drive straight.""",['Straight']
"""Keep driving straight ahead.""",['Straight']
"""Drive straight through the residential streets.""",['Straight']
"""Proceed straight ahead without any turns.""",['Straight']
"""Stay in the center lane to continue straight.""",['Straight']
"""Go straight around the traffic circle.""",['Straight']
"""Stay on the road and proceed straight.""",['Straight']
"""Go straight and navigate through the upcoming bend.""",['Straight']
"""Follow the road straight past the gas station.""",['Straight']
"""Keep the car moving forward in a straight line.""",['Straight']
"""Continue straight through the next series of turns.""",['Straight']
"""Follow the road straight until you reach the highway.""",['Straight']
"""Navigate in a straight direction at the fork.""",['Straight']
"""Proceed straight through the traffic circle.""",['Straight']
"""Stay on this road and continue straight through the tunnel.""",['Straight']
"""Maintain your course and continue straight.""",['Straight']
"""Proceed straight along this avenue.""",['Straight']
"""Go straight on the road without any deviations.""",['Straight']
"""Progress straight ahead on the road.""",['Straight']
"""Proceed straight and follow the signs for the airport.""",['Straight']
"""Go straight ahead without changing lanes.""",['Straight']
"""Head straight towards the landmark building.""",['Straight']
"""Continue straight down the boulevard.""",['Straight']
"""Drive straight until the next opportunity to turn.""",['Straight']
"""Drive straight and merge onto the highway.""",['Straight']
"""Go straight and stay on the same roadway.""",['Straight']
"""Drive ahead and keep going straight.""",['Straight']
"""Proceed straight and cross the overpass.""",['Straight']
"""Continue straight for another 2 blocks.""",['Straight']
"""Remain on this road going straight.""",['Straight']
"""Keep moving straight on the main road.""",['Straight']
"""Continue on this route without turning.""",['Straight']
"""Drive straight through the roundabout.""",['Straight']
"""Drive straight under the canopy of trees.""",['Straight']
"""Maintain a straight course on this road.""",['Straight']
"""Stay in the left lane and go straight.""",['Straight']
"""Keep following the road straight ahead.""",['Straight']
"""Head straight towards the mountains.""",['Straight']
"""Stay on the current street and navigate straight ahead.""",['Straight']
"""Follow the road straight ahead.""",['Straight']
"""Keep moving straight on this path.""",['Straight']
"""Proceed straight through the next set of intersections.""",['Straight']
"""Drive straight on the upcoming stretch of road.""",['Straight']
"""Continue straight at the next set of lights.""",['Straight']
"""Follow the road as it curves straight ahead.""",['Straight']
"""Continue straight along the tree-lined avenue.""",['Straight']
"""Go straight past the upcoming stop sign.""",['Straight']
"""Continue straight on this route for the next few minutes.""",['Straight']
"""Maintain a straight path on this road.""",['Straight']
"""Travel straight down the long stretch of road.""",['Straight']
"""Stay focused and drive straight through the city center.""",['Straight']
"""Continue straight and ignore the side roads.""",['Straight']
"""Drive straight past the construction zone.""",['Straight']
"""Go straight on this path.""",['Straight']
"""Keep going straight until you reach the T-intersection.""",['Straight']
"""Proceed straight at the upcoming fork in the road.""",['Straight']
"""Stay on this road and drive straight through.""",['Straight']
"""Navigate straight through the upcoming roundabout.""",['Straight']
"""Go straight and continue on the current path.""",['Straight']
"""Move straight down the road.""",['Straight']
"""Continue straight past the upcoming hill.""",['Straight']
"""Go straight past the merge point.""",['Straight']
"""Proceed straight without any diversions.""",['Straight']
"""Drive straight through the tunnel.""",['Straight']
"""Drive straight through the intersection.""",['Straight']
"""Go straight ahead at the upcoming intersection.""",['Straight']
"""Carry on straight down the road.""",['Straight']
"""Go straight past the convenience store.""",['Straight']
"""Navigate straight along the countryside.""",['Straight']
"""Carry on straight without any deviations.""",['Straight']
"""Continue straight through the residential neighborhood.""",['Straight']
"""Keep moving forward and drive straight through the junction.""",['Straight']
"""Go straight until you see the next landmark.""",['Straight']
"""Drive straight towards the mountain range.""",['Straight']
"""Continue straight on the winding road.""",['Straight']
"""Keep straight to stay on the right path.""",['Straight']
"""Follow the road ahead and drive straight.""",['Straight']
"""Drive straight along this segment of the road.""",['Straight']
"""Maintain your course and keep going straight""",['Straight']
"""Proceed straight at the next streetlight.""",['Straight']
"""Follow the GPS directions and go straight.""",['Straight']
"""Stay on this road going straight ahead.""",['Straight']
"""Keep driving straight through the neighborhood.""",['Straight']
"""Drive ahead without deviating from the route.""",['Straight']
"""Maintain a steady speed while going straight.""",['Straight']
"""Travel straight ahead for the next mile.""",['Straight']
"""Follow the road straight through the roundabout.""",['Straight']
"""Proceed ahead on the current street.""",['Straight']
"""Keep driving straight until you cross the bridge.""",['Straight']
"""Drive straight toward the sunset.""",['Straight']
"""Proceed straight through the upcoming junction.""",['Straight']
"""Drive straight past the school on the left.""",['Straight']
"""Drive straight through the upcoming overpass.""",['Straight']
"""Move straight on the current street.""",['Straight']
"""Proceed straight despite the traffic congestion.""",['Straight']
"""Stay on the main road and proceed straight ahead.""",['Straight']
"""Make sure to drive straight after the crosswalk.""",['Straight']
"""Head straight along the boulevard.""",['Straight']
"""Continue straight through the underpass.""",['Straight']
"""Keep moving forward on the current road.""",['Straight']
"""Travel straight on the highway ramp.""",['Straight']
"""Continue straight and cross the intersection safely.""",['Straight']
"""Stay on the main thoroughfare and go straight.""",['Straight']
"""Continue straight and watch for the next turnoff.""",['Straight']
"""Keep moving straight without any detours.""",['Straight']
"""Drive straight for the next couple of blocks.""",['Straight']
"""Proceed forward without any changes in direction.""",['Straight']
"""Continue straight through the urban area.""",['Straight']
"""Keep moving straight until you pass the blue house.""",['Straight']
"""Maintain your course and keep going straight.""",['Straight']
"""Stay straight despite the changing weather conditions.""",['Straight']
"""Head straight following the street lights.""",['Straight']
"""Stay on the main road and drive straight ahead.""",['Straight']
"""Travel straight through the industrial area.""",['Straight']
"""Proceed straight past the upcoming junction.""",['Straight']
"""Keep driving straight along the avenue.""",['Straight']
"""Stay on this road without any turns.""",['Straight']
"""Stay straight through the roundabout intersection.""",['Straight']
"""Go straight past the gas station.""",['Straight']
"""Carry on in a straight line without turning.""",['Straight']
"""Make no turns, just go straight ahead.""",['Straight']
"""Maintain a straight course through the town.""",['Straight']
"""Proceed straight at the upcoming junction.""",['Straight']
"""Stay focused and maintain a straight trajectory.""",['Straight']
"""Carry on straight through the next roundabout.""",['Straight']
"""Stay on the current road without turning.""",['Straight']
"""Proceed forward in a straight line.""",['Straight']
"""Head straight through the next set of lights.""",['Straight']
"""Maintain your direction straight ahead.""",['Straight']
"""Proceed straight until you see the green sign.""",['Straight']
"""Drive straight until you reach the fork in the road.""",['Straight']
"""Travel straight until you see the next road sign.""",['Straight']
"""Continue straight until you see the next landmark.""",['Straight']
"""Stay on this street in a straight line.""",['Straight']
"""Continue in a straight line down the street.""",['Straight']
"""Drive straight through the next set of traffic lights.""",['Straight']
"""Maintain your course straight ahead.""",['Straight']
"""Drive straight through the downtown district.""",['Straight']
"""Go straight without making any changes in direction.""",['Straight']
"""Proceed straight without any turns.""",['Straight']
"""Maintain your course straight along this road.""",['Straight']
"""Go straight past the next cross street.""",['Straight']
"""Keep moving straight along the coastal highway.""",['Straight']
"""Go straight through the upcoming traffic lights.""",['Straight']
"""Keep moving straight until you see the mountains.""",['Straight']
"""Maintain a straight course as you drive forward.""",['Straight']
"""Drive directly ahead without turning.""",['Straight']
"""Stay straight and drive ahead.""",['Straight']
"""Head straight past the park.""",['Straight']
"""Drive straight while staying aware of your surroundings.""",['Straight']
"""Proceed straight at the upcoming roundabout.""",['Straight']
"""Stay on the current road without any deviations.""",['Straight']
"""Proceed straight across the bridge.""",['Straight']
"""Move straight on the current road ahead.""",['Straight']
"""Stay on this route and drive straight.""",['Straight']
"""Follow the road straight up the hill.""",['Straight']
"""Continue ahead on this road.""",['Straight']
"""Maintain a straight course.""",['Straight']
"""Proceed straight and cross the upcoming intersection.""",['Straight']
"""Move straight through the next set of lights.""",['Straight']
"""Continue straight along the riverbank.""",['Straight']
"""Drive straight without any changes in direction.""",['Straight']
"""Navigate straight through the next set of traffic lights.""",['Straight']
"""Drive in a straight line through the next junction.""",['Straight']
"""Proceed straight along the avenue.""",['Straight']
"""Follow the road directly ahead without turning.""",['Straight']
"""Continue straight ahead until you reach the highway.""",['Straight']
"""Drive straight past the next street.""",['Straight']
"""Continue straight on the same thoroughfare.""",['Straight']
"""Go straight through the upcoming junction.""",['Straight']
"""Maintain your direction straight until you see the airport.""",['Straight']
"""Stay on this road without changing direction.""",['Straight']
"""Drive forward in a straight direction.""",['Straight']
"""Keep straight to avoid missing the turn.""",['Straight']
"""Maintain your direction and keep going straight.""",['Straight']
"""Stay on this route and go straight.""",['Straight']
"""Drive directly forward on this road.""",['Straight']
"""Continue in a straight line along this street.""",['Straight']
"""Drive straight through the following intersection.""",['Straight']
"""Continue straight at the zebra crossing.""",['Straight']
"""Keep going straight through the city center.""",['Straight']
"""Continue driving straight ahead on this road.""",['Straight']
"""Follow the road straight ahead without turning.""",['Straight']
"""Remain straight as you approach the stop sign.""",['Straight']
"""Stay on the current road heading straight.""",['Straight']
"""Maintain a straight direction on this street.""",['Straight']
"""Head straight past the next stop sign.""",['Straight']
"""Proceed straight and pass the next turnoff.""",['Straight']
"""Stick to the straight path without turning.""",['Straight']
"""Travel straight along the scenic coastal highway.""",['Straight']
"""Keep following the road straight ahead.""",['Straight']
"""Head straight towards the city skyline.""",['Straight']
"""Keep on the current path in a straight line.""",['Straight']
"""Navigate forward without deviating from the current path.""",['Straight']
"""Continue in a straight line through the next block.""",['Straight']
"""Stay in the left lane and drive straight.""",['Straight']
"""Drive straight without any deviations.""",['Straight']
"""Continue straight beyond the city limits.""",['Straight']
"""Follow the road straight as it curves to the right.""",['Straight']
"""Stay on the path in a straight line.""",['Straight']
"""Stay alert and maintain a straight course.""",['Straight']
"""Navigate straight beyond the school zone.""",['Straight']
"""Head straight through the tunnel.""",['Straight']
"""Progress straight past the shopping mall.""",['Straight']
"""Keep going straight until you reach the next traffic light.""",['Straight']
"""Proceed straight through the intersection.""",['Straight']
"""Drive straight past the car wash.""",['Straight']
"""Head straight at the T-intersection.""",['Straight']
"""Go straight at the upcoming junction.""",['Straight']
"""Continue straight through the next roundabout.""",['Straight']
"""Drive in a straight line through the roundabout.""",['Straight']
"""Go straight on this roadway.""",['Straight']
"""Maintain your course in a straight line.""",['Straight']
"""Stay straight on the road without swerving.""",['Straight']
"""Head straight until you reach the traffic circle.""",['Straight']
"""Keep straight along the waterfront.""",['Straight']
"""Continue straight past the upcoming intersection.""",['Straight']
"""Continue straight beyond the merge lane.""",['Straight']
"""Continue straight despite the road closures.""",['Straight']
"""Stay straight on the road with the yellow line.""",['Straight']
"""Continue straight along this street.""",['Straight']
"""Stay on the current path without any changes.""",['Straight']
"""Stay in the middle lane and proceed straight.""",['Straight']
"""Proceed straight at the upcoming fork.""",['Straight']
"""Keep driving straight past the park.""",['Straight']
"""Proceed straight onto the main thoroughfare.""",['Straight']
"""Drive ahead without any changes in course.""",['Straight']
"""Stay on this road and keep moving straight.""",['Straight']
"""Keep going straight past the school zone.""",['Straight']
"""Travel straight alongside the river.""",['Straight']
"""Stay on the current road and go straight.""",['Straight']
"""Maintain a straight course of travel.""",['Straight']
"""Keep straight through the shopping district.""",['Straight']
"""Navigate straight ahead at the next stoplight.""",['Straight']
"""Stay straight and follow the signs ahead.""",['Straight']
"""Carry on straight through the roundabout.""",['Straight']
"""Keep moving in a straight direction.""",['Straight']
"""Move forward on this street in a straight line.""",['Straight']
"""Remain on the same path and don't veer off course.""",['Straight']
"""Keep going straight and pass the next exit.""",['Straight']
"""Stay straight and follow the road as it curves to the left.""",['Straight']
"""Proceed straight over the bridge.""",['Straight']
"""Stay straight where the road splits.""",['Straight']
"""Keep straight on the road with the tall buildings.""",['Straight']
"""Stay in the right lane and go straight through.""",['Straight']
"""Keep the car moving straight ahead.""",['Straight']
"""Travel straight past the bus stop.""",['Straight']
"""Stay straight to reach the next roundabout.""",['Straight']
"""Keep moving ahead without any turns.""",['Straight']
"""Proceed straight through the upcoming roundabout.""",['Straight']
"""Proceed straight along the coastal road.""",['Straight']
"""Drive straight through the green light.""",['Straight']
"""Head straight past the upcoming turnoff.""",['Straight']
"""Go ahead without any deviations.""",['Straight']
"""Turn off distractions and drive straight ahead.""",['Straight']
"""Move ahead without making any turns.""",['Straight']
"""Keep driving straight along the boulevard.""",['Straight']
"""Remain straight after the sharp curve.""",['Straight']
"""Stay in the left lane and go straight.""",['Straight']
"""Travel straight until you see the mountain in the distance.""",['Straight']
"""Stay on this route moving forward in a straight line.""",['Straight']
"""Go straight at the next intersection.""",['Straight']
"""Continue straight without any deviations.""",['Straight']
"""Carry on driving straight ahead.""",['Straight']
"""Continue straight past the upcoming turnoff.""",['Straight']
"""Drive straight along the coastal road.""",['Straight']
"""Drive directly ahead without changing lanes.""",['Straight']
"""Navigate the city streets and drive straight.""",['Straight']
"""Drive straight through the business district.""",['Straight']
"""Keep moving straight despite the road curvature.""",['Straight']
