instruction,action
"""Make a turn facing the right side.""",['Right']
"""Turn towards the side that's to the right of the left at the upcoming junction.""",['Right']
"""Swing towards the right-hand side.""",['Right']
"""Make a turn towards the starboard side at the next crossroads.""",['Right']
"""Follow the path that's not the left at the next traffic signal.""",['Right']
"""Steer in the clockwise direction.""",['Right']
"""Head in the direction that's facing away from the left at the next traffic signal.""",['Right']
"""Move in a dextral direction.""",['Right']
"""Proceed towards the right-hand side at the next street you reach.""",['Right']
"""Drive towards the direction facing away from the left at the next corner.""",['Right']
"""Head towards the right side of the road.""",['Right']
"""Steer your vehicle in the direction where the sun sets.""",['Right']
"""Swing to the side that's to the right of the left at the next intersection.""",['Right']
"""Turn your vehicle to the direction that faces east.""",['Right']
"""Direct your vehicle in a rightward manner.""",['Right']
"""Drive in the direction where the sun rises.""",['Right']
"""Navigate towards the side that's opposite of the left at the upcoming corner.""",['Right']
"""Head towards the direction that's opposite of the left at the next intersection.""",['Right']
"""Swing to the right-hand side when you reach the next turn.""",['Right']
"""Take a sharp curve to the east.""",['Right']
"""Navigate towards the side that's facing away from the left at the next crossroads.""",['Right']
"""Make a turn towards the east.""",['Right']
"""Drive in the direction that's to the starboard side at the next street.""",['Right']
"""Proceed in the direction of the clockwise curve.""",['Right']
"""Steer towards the right-hand side at the next street you encounter.""",['Right']
"""Drive in the direction that is dextral.""",['Right']
"""Drive in the direction that is rightward.""",['Right']
"""Proceed in the direction that's not the left at the upcoming junction.""",['Right']
"""Direct your vehicle towards the side that's facing away from the left at the next road split.""",['Right']
"""Drive towards the side that aligns with the compass's east point.""",['Right']
"""Proceed in the direction of the sunrise.""",['Right']
"""Shift towards the starboard side.""",['Right']
"""Point your vehicle in the direction facing away from the left at the upcoming turn.""",['Right']
"""Direct your vehicle towards the side that's not the left at the upcoming crossroads.""",['Right']
"""Proceed in the easternward direction.""",['Right']
"""Veer off to the side opposite of the left at the upcoming street.""",['Right']
"""Guide your vehicle to the eastern side.""",['Right']
"""Navigate towards the eastward direction.""",['Right']
"""Navigate towards the direction that faces east.""",['Right']
"""Steer towards the right-hand side at the next street you approach.""",['Right']
"""Guide your vehicle to the direction opposite of the left.""",['Right']
"""Drive towards the direction that is right.""",['Right']
"""Proceed in the direction where the sun rises.""",['Right']
"""Continue in the direction that leads to the right angle.""",['Right']
"""Shift towards the clockwise direction.""",['Right']
"""Curve to the side that's opposite of the left at the next intersection.""",['Right']
"""Steer towards the eastern side.""",['Right']
"""Make a turn in the direction that is opposite of the left.""",['Right']
"""Turn your vehicle to the side opposite of the left.""",['Right']
"""Move towards the side that's perpendicular to the left at the upcoming turn.""",['Right']
"""Curve to the side aligned with the compass point east at the next corner.""",['Right']
"""Adjust your course to the east.""",['Right']
"""Navigate towards the side that's not the left at the next road split.""",['Right']
"""Direct your vehicle to the right.""",['Right']
"""Make a turn towards the side that's not the left at the upcoming junction.""",['Right']
"""Follow the path that veers to the starboard side.""",['Right']
"""Navigate to the direction opposite of left.""",['Right']
"""Make a sharp turn to the right at the upcoming junction.""",['Right']
"""Head towards the eastern side of the road.""",['Right']
"""Drive in the direction facing away from the left at the next junction.""",['Right']
"""Turn towards the side that's perpendicular to the left at the upcoming corner.""",['Right']
"""Turn to the side opposite of the left.""",['Right']
"""Proceed in the direction that's to the starboard side at the next corner.""",['Right']
"""Drive on the left-hand side.""",['Left']
"""Curve gently to the left.""",['Left']
"""Travel towards the western edge of the road.""",['Left']
"""Proceed along the leftward direction.""",['Left']
"""Head in the direction of the horizon.""",['Left']
"""Turn slightly leftward.""",['Left']
"""Continue along the left bend.""",['Left']
"""Drive along the left edge of the lane.""",['Left']
"""Proceed to the lane on your port side.""",['Left']
"""Take the leftward exit.""",['Left']
"""Travel in the westerly direction.""",['Left']
"""Take the next left turn.""",['Left']
"""Follow the road leading to the left.""",['Left']
"""Drive along the left edge of the road.""",['Left']
"""Veer towards the left path.""",['Left']
"""Turn in the western direction.""",['Left']
"""Steer towards the side closer to the mountains.""",['Left']
"""Drive on the left side of the road.""",['Left']
"""Continue driving on the left course.""",['Left']
"""Make a westward turn.""",['Left']
"""Go slightly anti-clockwise.""",['Left']
"""Shift towards the leftward side.""",['Left']
"""Navigate to the lefthand lane.""",['Left']
"""Adjust towards the leftmost lane.""",['Left']
"""Navigate towards the leeward direction.""",['Left']
"""Move in the direction of the shadow cast by your vehicle.""",['Left']
"""Follow the route leading to the left.""",['Left']
"""Stick to the left side of the road.""",['Left']
"""Navigate on the port side of the road.""",['Left']
"""Make a westward maneuver at the fork.""",['Left']
"""Make a turn towards the left.""",['Left']
"""Steer towards the side where the shadows lengthen.""",['Left']
"""Choose the left-hand path.""",['Left']
"""Adjust to the left-hand side of the road.""",['Left']
"""Take the leftward route.""",['Left']
"""Head in the lefthand lane.""",['Left']
"""Drive parallel to the left boundary.""",['Left']
"""Go along the leftmost track.""",['Left']
"""Go leftward at the fork in the road.""",['Left']
"""Veer towards the westward direction.""",['Left']
"""Navigate to the leftward path.""",['Left']
"""Shift to the opposite side of the road.""",['Left']
"""Make a turn in the direction of the sunset.""",['Left']
"""Proceed in the leftward direction.""",['Left']
"""Navigate towards the left-hand side.""",['Left']
"""Head in the westbound direction.""",['Left']
"""Proceed in the leftward lane.""",['Left']
"""Drive in the direction of the leftward turn.""",['Left']
"""Go in the direction of the leftward turn.""",['Left']
"""Navigate towards the left verge.""",['Left']
"""Go in the counterclockwise lane.""",['Left']
"""Go in the counterclockwise direction.""",['Left']
"""Drive in the direction of the left curve.""",['Left']
"""Swerve to the left side of the street.""",['Left']
"""Swing your car in the lefthand direction.""",['Left']
"""Drive in the southward direction.""",['Left']
"""Drive on the southward side.""",['Left']
"""Make a gradual leftward turn.""",['Left']
"""Continue in the direction of the left.""",['Left']
"""Stay on the left path ahead.""",['Left']
"""Choose the pathway veering left.""",['Left']
"""Drive towards the southward direction.""",['Left']
"""Take the westward route.""",['Left']
"""Drive in the direction opposite to the sunrise.""",['Left']
"""Head in the anti-clockwise direction.""",['Left']
"""Navigate towards the sunset direction.""",['Left']
"""Head towards the leeward direction.""",['Left']
"""Proceed towards the leftward lane.""",['Left']
"""Curve gently towards the left side.""",['Left']
"""Turn slightly to the left.""",['Left']
"""Swing your vehicle to the westward direction.""",['Left']
"""Steer your vehicle leftward.""",['Left']
"""Proceed on the leftward trajectory.""",['Left']
"""Head in the direction of the setting sun.""",['Left']
"""Steer slightly to the left.""",['Left']
"""Curve gently in the leftward direction.""",['Left']
"""Follow the path leading to the north.""",['Left']
"""Swing your vehicle in the anti-clockwise path.""",['Left']
"""Guide your vehicle towards the side of the setting sun.""",['Left']
"""Go leftwards when the road splits.""",['Left']
"""Swing your vehicle to the left.""",['Left']
"""Steer to the left-hand side.""",['Left']
"""Swing towards the left side.""",['Left']
"""Drive on the leftmost lane.""",['Left']
"""Head in the counterclockwise direction.""",['Left']
"""Swing your car in the westerly path.""",['Left']
"""Head in the westside direction.""",['Left']
"""Stay towards the port side on the road.""",['Left']
"""Take the path leading to the leftmost side.""",['Left']
"""Stick to the road bending left.""",['Left']
"""Adjust towards the southward lane.""",['Left']
"""Steer in the direction of the horizon.""",['Left']
"""Turn your vehicle towards the left.""",['Left']
"""Steer your vehicle in the leftward direction.""",['Left']
"""Follow the route bending to the left.""",['Left']
"""Steer towards the leftmost direction.""",['Left']
"""Make a gentle turn towards the west.""",['Left']
"""Travel in the direction of the left curve.""",['Left']
"""Continue following the leftward road.""",['Left']
"""Proceed on the left lane.""",['Left']
