instruction,action
"""Continue straight, then turn right at the T-junction.""",['Right']
"""At the traffic circle, take the first right exit.""",['Right']
"""Turn right at the next driveway.""",['Right']
"""Shift to the right lane before the upcoming exit.""",['Right']
"""Proceed ahead and make a right-hand turn.""",['Right']
"""Make a right turn onto the highway.""",['Right']
"""Head right at the upcoming junction.""",['Right']
"""Begin to ease to the right to make the upcoming turn.""",['Right']
"""Approach the roundabout and take the right lane.""",['Right']
"""Cross the bridge and turn right at the end.""",['Right']
"""Merge right to join the flow of traffic.""",['Right']
"""After the traffic light, make a right onto the service road.""",['Right']
"""After the construction zone, turn right at the detour.""",['Right']
"""Navigate the roundabout by turning right at the third exit.""",['Right']
"""Pass the school and turn right.""",['Right']
"""Ensure you slow down enough to make a smooth right turn.""",['Right']
"""Merge right onto the expressway.""",['Right']
"""Take a gentle right to merge onto the freeway.""",['Right']
"""Maintain a safe distance from the right lane vehicles.""",['Right']
"""Carefully navigate the right turn at the busy intersection.""",['Right']
"""Steer your car to the right curb for the parking spot.""",['Right']
"""Take the right exit towards the industrial area.""",['Right']
"""Take the next right after the pedestrian crossing.""",['Right']
"""Take the next right onto the on-ramp.""",['Right']
"""At the end of the cul-de-sac, turn right.""",['Right']
"""Turn right onto the side road.""",['Right']
"""Turn right onto the one-way street.""",['Right']
"""Follow the road as it veers right.""",['Right']
"""Prepare to make a quick right turn at the upcoming corner.""",['Right']
"""Turn right after the traffic camera.""",['Right']
"""Exit the parking lot by turning right.""",['Right']
"""Drive past the church and turn right.""",['Right']
"""Take a sharp right onto the narrow street.""",['Right']
"""Swing right to navigate the sharp bend.""",['Right']
"""Exit the roundabout at the first right.""",['Right']
"""Keep right to follow the detour.""",['Right']
"""At the fork, bear right to continue on the main street.""",['Right']
"""Follow the road as it bends to the right.""",['Right']
"""Veer right onto the highway ramp.""",['Right']
"""Go straight for a short distance, then turn right.""",['Right']
"""Head to the right at the fork in the road.""",['Right']
"""Signal and change lanes to the right.""",['Right']
"""Navigate the roundabout and exit right.""",['Right']
"""Direct your vehicle to the right lane for the upcoming exit.""",['Right']
"""Make a legal right turn on red, if clear.""",['Right']
"""Signal right and enter the turning lane.""",['Right']
"""Signal and prepare to turn right at the upcoming intersection.""",['Right']
"""Swing your car to the right as you approach the sharp curve.""",['Right']
"""Follow the curve and turn right onto the access road.""",['Right']
"""After the pedestrian crossing, turn right onto the side street.""",['Right']
"""Make a right turn at the upcoming stop sign.""",['Right']
"""Navigate the roundabout and take the third right.""",['Right']
"""Turn right before the yellow house.""",['Right']
"""Make a sharp right onto the side street.""",['Right']
"""Veer right at the split in the road.""",['Right']
"""Drive down the hill and turn right at the bottom.""",['Right']
"""Hug the right side of the road as you pass the parked cars.""",['Right']
"""Exit right onto the highway ramp.""",['Right']
"""Turn right at the T-junction.""",['Right']
"""Continue straight and make a right at the next street.""",['Right']
"""Approach the roundabout and take the rightmost lane.""",['Right']
"""Exit the parking lot and turn right onto the main road.""",['Right']
"""Merge right to access the express lane.""",['Right']
"""When you reach the T-intersection, turn right.""",['Right']
"""Drive past the park and turn right.""",['Right']
"""Follow the road as it curves to the right.""",['Right']
"""Exit right towards the shopping district.""",['Right']
"""Navigate the winding road by turning right at the first junction.""",['Right']
"""Proceed straight and make a right at the fork.""",['Right']
"""Give way to pedestrians before turning right at the crosswalk.""",['Right']
"""After the merge, turn right onto the main thoroughfare.""",['Right']
"""Use your mirrors to LaneFollow the vehicle behind you.""",['LaneFollow']
"""Switch lanes smoothly to maintain a consistent speed.""",['LaneFollow']
"""Stay within the lines to avoid straddling between two lanes.""",['LaneFollow']
"""LaneFollow and be prepared to stop at the upcoming traffic light.""",['LaneFollow']
"""Keep an eye on your surroundings while LaneFollowing.""",['LaneFollow']
"""Position your vehicle in the lane closest to your desired exit.""",['LaneFollow']
"""LaneFollow carefully in the rain for better traction.""",['LaneFollow']
"""LaneFollow through the busy intersection ahead.""",['LaneFollow']
"""Adjust your speed to stay in sync with the vehicle in the adjacent lane.""",['LaneFollow']
"""Follow the lane as it widens for the upcoming intersection.""",['LaneFollow']
"""Stay in the left lane to LaneFollow towards the city center.""",['LaneFollow']
"""Be cautious of merging traffic while LaneFollowing on the highway.""",['LaneFollow']
"""Follow the lane as it curves to the right.""",['LaneFollow']
"""Watch out for pedestrians while LaneFollowing downtown.""",['LaneFollow']
"""Check your blind spots before LaneFollowing to the right.""",['LaneFollow']
"""LaneFollow behind the school bus with caution.""",['LaneFollow']
"""Keep in the left lane to take the upcoming left exit ramp.""",['LaneFollow']
"""Keep to the left lane to bypass the toll booth.""",['LaneFollow']
"""Remain in the center lane until directed otherwise.""",['LaneFollow']
"""Follow the lane divider as it guides you through the intersection.""",['LaneFollow']
"""LaneFollow on the highway for the next 5 miles.""",['LaneFollow']
"""Merge into the center lane to prepare for the upcoming lane closure.""",['LaneFollow']
"""Pay attention to road markings as you LaneFollow.""",['LaneFollow']
"""LaneFollow on the curved road ahead.""",['LaneFollow']
"""Follow the signs and LaneFollow towards downtown.""",['LaneFollow']
"""Switch lanes only when safe and continue LaneFollowing.""",['LaneFollow']
"""Keep a consistent speed as you LaneFollow through the roundabout.""",['LaneFollow']
"""Use your turn signal to LaneFollow into the shopping center.""",['LaneFollow']
"""Use the outer lane for the upcoming right turn at the intersection.""",['LaneFollow']
"""Use the designated lane for vehicles turning right at the upcoming intersection.""",['LaneFollow']
"""Follow the traffic flow and LaneFollow with caution.""",['LaneFollow']
"""Adjust your speed to LaneFollow with the flow of traffic.""",['LaneFollow']
"""Prepare to LaneFollow as the road narrows.""",['LaneFollow']
"""Follow the arrows on the road to LaneFollow correctly.""",['LaneFollow']
"""Observe the speed limit as you LaneFollow on the expressway.""",['LaneFollow']
"""LaneFollow behind the emergency vehicle with caution.""",['LaneFollow']
"""Use the left lane to merge onto the highway.""",['LaneFollow']
"""Maintain a safe following distance while LaneFollowing.""",['LaneFollow']
"""Merge into the lane with the least traffic congestion for smoother driving.""",['LaneFollow']
"""Stay in the center lane and LaneFollow through the tunnel.""",['LaneFollow']
"""Adjust your mirrors before LaneFollowing on the highway.""",['LaneFollow']
"""Follow the lane markers to stay within your designated lane.""",['LaneFollow']
"""LaneFollow cautiously in the rain.""",['LaneFollow']
"""Continue LaneFollow as you approach the bridge.""",['LaneFollow']
"""Stay in the center lane and LaneFollow as the road splits.""",['LaneFollow']
"""Coordinate with other drivers to LaneFollow smoothly at the merge point.""",['LaneFollow']
"""Merge into the middle lane and LaneFollow the lead car.""",['LaneFollow']
"""Use the right lane to pass slower vehicles.""",['LaneFollow']
"""Maintain a steady speed as you LaneFollow the curve.""",['LaneFollow']
"""LaneFollow on the highway for the next 10 miles.""",['LaneFollow']
"""Merge into the right lane to make a right turn at the next intersection.""",['LaneFollow']
"""LaneFollow according to the traffic signs posted.""",['LaneFollow']
"""Check your blind spot before LaneFollowing to the left.""",['LaneFollow']
"""Remember to LaneFollow in heavy traffic.""",['LaneFollow']
"""Maintain a safe distance from the vehicle ahead while in the same lane.""",['LaneFollow']
"""Keep a safe distance and LaneFollow the vehicle in front of you.""",['LaneFollow']
"""LaneFollow and watch out for cyclists on the side of the road.""",['LaneFollow']
"""Stay in the designated lane to access the shopping mall entrance.""",['LaneFollow']
"""Keep in the right lane to bypass the construction zone.""",['LaneFollow']
"""Maintain your position in the far right lane.""",['LaneFollow']
"""Follow the lane as it gently curves to the left.""",['LaneFollow']
"""Be patient and LaneFollow in the slow-moving traffic.""",['LaneFollow']
"""Stay in the lane marked for straight through traffic.""",['LaneFollow']
"""Stay close to the center lane for better visibility of upcoming road signs.""",['LaneFollow']
"""Maintain your speed while LaneFollowing to ensure a safe driving experience.""",['LaneFollow']
"""Switch to the left lane after passing the traffic light.""",['LaneFollow']
"""Stay in the left lane to continue on the main road.""",['LaneFollow']
"""Continue straight ahead while in the far right lane.""",['LaneFollow']
"""Watch for cyclists as you LaneFollow along the bike lane.""",['LaneFollow']
"""Switch lanes early to avoid last-minute lane changes.""",['LaneFollow']
"""Stay in the left lane to avoid the slower-moving vehicles on your right.""",['LaneFollow']
"""Stay focused and LaneFollow through the busy intersection.""",['LaneFollow']
"""Drive at a steady pace to keep up with the traffic in your lane.""",['LaneFollow']
"""Practice defensive driving techniques while LaneFollowing.""",['LaneFollow']
"""Keep to the right and LaneFollow through the roundabout.""",['LaneFollow']
"""LaneFollow cautiously as you approach the pedestrian crossing.""",['LaneFollow']
"""Use your judgment to LaneFollow through the narrow street.""",['LaneFollow']
"""Remember to LaneFollow at a safe distance from other cars.""",['LaneFollow']
"""Move into the middle lane to avoid upcoming construction.""",['LaneFollow']
"""Observe the stop signs and LaneFollow through the intersection.""",['LaneFollow']
"""Remain in your lane and LaneFollow as the lanes merge.""",['LaneFollow']
"""Stay in your lane and LaneFollow until you reach the toll booth.""",['LaneFollow']
"""Merge back into the lane after overtaking the slower vehicle.""",['LaneFollow']
"""Adjust your speed accordingly as you LaneFollow on the winding road.""",['LaneFollow']
"""Switch to the inner lane to pass the parked vehicles.""",['LaneFollow']
"""Check your blind spots before LaneFollowing to the left.""",['LaneFollow']
"""Use your turn signal before LaneFollowing to the right.""",['LaneFollow']
"""Continue LaneFollow until you reach the next off-ramp.""",['LaneFollow']
"""LaneFollow carefully through the construction zone.""",['LaneFollow']
"""Maintain a steady speed as you LaneFollow through the residential area.""",['LaneFollow']
"""Stay in the left lane to LaneFollow onto the freeway entrance ramp.""",['LaneFollow']
"""Use your signals when LaneFollowing on the freeway.""",['LaneFollow']
"""Adjust your speed as you LaneFollow uphill.""",['LaneFollow']
"""Switch lanes gradually to allow for smooth lane change.""",['LaneFollow']
"""Be courteous and let others LaneFollow smoothly.""",['LaneFollow']
"""Signal your intention before changing lanes to LaneFollow smoothly.""",['LaneFollow']
"""Use your mirrors to check your surroundings while LaneFollowing.""",['LaneFollow']
"""Stay in the left lane and LaneFollow around the bend.""",['LaneFollow']
"""Remember to LaneFollow in the designated bike lane area.""",['LaneFollow']
"""Merge into the right lane and LaneFollow until your exit.""",['LaneFollow']
"""Continue LaneFollow past the merge point.""",['LaneFollow']
"""Make sure to LaneFollow within the speed limit.""",['LaneFollow']
"""Switch lanes and LaneFollow behind the red car.""",['LaneFollow']
"""Switch lanes to the right to prepare for your exit.""",['LaneFollow']
"""Stay alert and LaneFollow to avoid sudden stops.""",['LaneFollow']
"""Follow the lane markings to keep in your lane.""",['LaneFollow']
"""Pay attention to road signs as you LaneFollow on the detour.""",['LaneFollow']
"""LaneFollow as the road curves to the left.""",['LaneFollow']
"""Merge into the right lane and LaneFollow the detour signs.""",['LaneFollow']
"""Navigate the sharp turn by LaneFollowing gradually.""",['LaneFollow']
"""Follow the speed limit signs when LaneFollowing through town.""",['LaneFollow']
"""Use the right lane to exit the highway at the next off-ramp.""",['LaneFollow']
"""Merge into the lane with the least amount of congestion.""",['LaneFollow']
"""LaneFollow until you see the next rest area sign.""",['LaneFollow']
"""Stay in the right lane and LaneFollow to exit the parking lot.""",['LaneFollow']
"""Follow the lane ahead as it splits into two separate directions.""",['LaneFollow']
"""Stay in the right lane and LaneFollow to the next exit.""",['LaneFollow']
"""Continue in the middle lane for the next few miles.""",['LaneFollow']
"""Navigate the city streets and LaneFollow to your destination.""",['LaneFollow']
"""Maintain a steady pace while LaneFollowing on the open road.""",['LaneFollow']
"""Follow the signs and LaneFollow to the airport exit.""",['LaneFollow']
"""Stay in the far left lane for the upcoming left turn.""",['LaneFollow']
"""Be mindful of pedestrians as you LaneFollow near the crosswalk.""",['LaneFollow']
"""Plan ahead and LaneFollow to avoid missing your turn.""",['LaneFollow']
"""Keep a safe distance while LaneFollowing the car ahead.""",['LaneFollow']
"""Merge left to avoid the upcoming merge.""",['Left']
"""Shift left to pass the parked vehicles.""",['Left']
"""Merge left onto the access road.""",['Left']
"""Swing left around the sharp curve.""",['Left']
"""Take a left onto the highway ramp.""",['Left']
"""Drive left along the river.""",['Left']
"""Cross left over the train tracks.""",['Left']
"""Follow the signs for the left exit.""",['Left']
"""Swing a left onto the winding road.""",['Left']
"""Merge left after the upcoming curve.""",['Left']
"""Deviate left to avoid the potholes.""",['Left']
"""Cross the bridge and turn left immediately after.""",['Left']
"""Merge left onto the bridge.""",['Left']
"""Adjust your position to the left lane.""",['Left']
"""Head left at the fork in the road.""",['Left']
"""Join the left lane to exit onto the off-ramp.""",['Left']
"""Shift left to avoid the construction zone.""",['Left']
"""Take the left road at the fork.""",['Left']
"""Go left after the pedestrian crossing.""",['Left']
"""Merge left onto the highway entrance.""",['Left']
"""Shift left to allow for faster traffic.""",['Left']
"""Turn left onto the cul-de-sac.""",['Left']
"""Signal left before changing lanes.""",['Left']
"""Curve left to continue on the scenic route.""",['Left']
"""Curve gently left to maintain the speed limit.""",['Left']
"""Choose the left path at the split in the road.""",['Left']
"""Head left when you see the park on your right.""",['Left']
"""Continue straight, then veer left onto the exit ramp.""",['Left']
"""Make a left turn after the gas station.""",['Left']
"""Make a left turn at the upcoming junction.""",['Left']
"""Follow the signs pointing left for the detour.""",['Left']
"""Keep your eyes peeled for the left turn ahead.""",['Left']
"""Stay left at the upcoming intersection.""",['Left']
"""Merge left onto the freeway.""",['Left']
"""Go left where the road splits.""",['Left']
"""Turn left after the yellow house.""",['Left']
"""Turn left at the stoplight by the library.""",['Left']
"""Take the leftmost lane onto the bridge.""",['Left']
"""Point your vehicle towards the left turn lane.""",['Left']
"""Go left at the crosswalk.""",['Left']
"""Stay in the left lane for the upcoming turn.""",['Left']
"""Slip left between the parked cars.""",['Left']
"""Turn onto the left side street.""",['Left']
"""Veer left to avoid the construction zone.""",['Left']
"""Cut left across the four-way intersection.""",['Left']
"""Turn left at the first opportunity.""",['Left']
"""Go left after the street light.""",['Left']
"""Follow the left arrow on the road sign.""",['Left']
"""Make a left onto the residential street.""",['Left']
"""Go left at the fork with the big oak tree.""",['Left']
"""Navigate left past the gas station.""",['Left']
"""Make a left turn at the upcoming stop sign.""",['Left']
"""Pass the left turn for the hospital.""",['Left']
"""Cross over the bridge to the left.""",['Left']
"""Take the left fork in the road.""",['Left']
"""Head left at the fork marked with an arrow.""",['Left']
"""Turn left onto the side street.""",['Left']
"""Turn left at the corner market.""",['Left']
"""Cut left at the sharp bend in the road.""",['Left']
"""Take the left turn before the railroad tracks.""",['Left']
"""Pass the left turnoff for the shopping mall.""",['Left']
"""Watch for pedestrians on your left side.""",['Left']
"""Enter the left lane to make your turn.""",['Left']
"""Merge into the left turn lane.""",['Left']
"""Navigate the left-hand bend ahead.""",['Left']
"""Navigate left at the zigzag intersection.""",['Left']
"""Head left towards the beachfront.""",['Left']
"""Switch to the left lane before the upcoming exit.""",['Left']
"""Drive left past the roundabout.""",['Left']
"""Veer left onto the side street.""",['Left']
"""Turn left after the upcoming pedestrian crossing.""",['Left']
"""Follow the curve to the left.""",['Left']
"""Exit left at the next available opportunity.""",['Left']
"""Veer left onto the highway ramp.""",['Left']
"""Proceed left at the fork in the road.""",['Left']
"""Pass through the left tunnel under the overpass.""",['Left']
"""Swing left at the sharp curve ahead.""",['Left']
"""Take a left towards the city center.""",['Left']
"""Proceed left at the crossroads.""",['Left']
"""Stay on the left side of the divided highway.""",['Left']
"""Drive left past the gas station.""",['Left']
"""Stay left at the fork to reach your destination.""",['Left']
"""Proceed left at the mini roundabout.""",['Left']
"""Proceed left at the traffic circle.""",['Left']
"""Stay on the left side to avoid oncoming traffic.""",['Left']
"""Continue along the left-hand shoulder of the road.""",['Left']
"""Turn left at the T-junction.""",['Left']
"""Turn left before the bridge.""",['Left']
"""Swerve left to dodge the pothole.""",['Left']
"""Make a left at the church intersection.""",['Left']
"""Choose the leftmost lane for the left turn.""",['Left']
"""Head left towards the shopping district.""",['Left']
"""Swerve left to avoid the parked cars.""",['Left']
"""Enter the left lane for the left turn.""",['Left']
"""Head left at the T-junction.""",['Left']
"""Head left at the crosswalk.""",['Left']
"""Make a left U-turn at the traffic light.""",['Left']
"""Head left towards the mountains.""",['Left']
"""Take a left at the pedestrian crossing.""",['Left']
"""Take a left into the parking lot.""",['Left']
"""Proceed left at the Y-intersection.""",['Left']
"""Swing a left onto the main road.""",['Left']
"""Go left after the railroad crossing.""",['Left']
"""Join the queue of cars turning left.""",['Left']
"""Descend left down the steep hill.""",['Left']
"""Go left at the next traffic circle.""",['Left']
"""Enter the roundabout and go left.""",['Left']
"""Approach the left turn with caution.""",['Left']
"""Slide left into the turning lane.""",['Left']
"""Proceed left along the tree-lined street.""",['Left']
"""Turn left before the traffic light.""",['Left']
"""Turn left near the shopping mall.""",['Left']
"""Turn left following the detour sign.""",['Left']
"""Go left when you reach the end of the street.""",['Left']
"""Turn left at the yield sign.""",['Left']
"""Continue along the left-hand side of the street.""",['Left']
"""Drive along the left side of the median.""",['Left']
"""Curve left at the upcoming roundabout.""",['Left']
"""Proceed left at the yield sign.""",['Left']
"""Take the left exit at the rotary.""",['Left']
"""Make a left turn before the school.""",['Left']
"""Take the left fork towards the scenic lookout.""",['Left']
"""Follow the road as it bends to the left.""",['Left']
"""Choose the leftmost lane at the upcoming split.""",['Left']
"""Turn left onto the one-way street.""",['Left']
