instruction,action
"""Continue forward in a direct path.""",['Straight']
"""Drive straight through the traffic lights.""",['Straight']
"""Travel along the straight road.""",['Straight']
"""Continue in a straight line without turning.""",['Straight']
"""Advance without any changes in direction.""",['Straight']
"""Continue along the path in a straight line.""",['Straight']
"""Stay on the path straight ahead.""",['Straight']
"""Head in a direct line at the upcoming intersection.""",['Straight']
"""Go onward on this road.""",['Straight']
"""Follow the straight path ahead.""",['Straight']
"""Proceed in a straight line forward.""",['Straight']
"""Continue along this path until you reach the lake.""",['Straight']
"""Drive in a linear fashion forward.""",['Straight']
"""Keep going straight on this road.""",['Straight']
"""Drive directly through the next intersection.""",['Straight']
"""Proceed directly ahead without turning.""",['Straight']
"""Stay on the path you are currently following.""",['Straight']
"""Navigate in a straight line without turning.""",['Straight']
"""Travel in a direct line without swerving.""",['Straight']
"""Follow the road straight through without changing direction.""",['Straight']
"""Stick to the direct path without turning.""",['Straight']
"""Proceed ahead until you reach the highway exit.""",['Straight']
"""Drive without any twists or turns.""",['Straight']
"""Continue straight ahead on this roadway.""",['Straight']
"""Stay on the straight path.""",['Straight']
"""Head directly at the upcoming intersection.""",['Straight']
"""Drive straight along the road without any bends.""",['Straight']
"""Maintain a straight line of travel.""",['Straight']
"""Go in a direct line until the next landmark.""",['Straight']
"""Drive ahead without veering off course or turning.""",['Straight']
"""Maintain your current course.""",['Straight']
"""Move directly down the street.""",['Straight']
"""Go in a direct path.""",['Straight']
"""Keep going in a straight direction.""",['Straight']
"""Advance without changing direction.""",['Straight']
"""Proceed without any turns.""",['Straight']
"""Go straight without any detours.""",['Straight']
"""Navigate in a straight line through the junction.""",['Straight']
"""Keep on the road without any detours.""",['Straight']
"""Follow the path in front of you.""",['Straight']
"""Drive along the road without swerving.""",['Straight']
"""Continue on the same road without any changes.""",['Straight']
"""Continue in a straightforward manner.""",['Straight']
"""Proceed ahead without any deviations.""",['Straight']
"""Continue straight until the next direction.""",['Straight']
"""Drive straight without any detours.""",['Straight']
"""Keep traveling straight along this thoroughfare.""",['Straight']
"""Stay on this road.""",['Straight']
"""Proceed ahead through the upcoming junction.""",['Straight']
"""Navigate straight through the upcoming intersection.""",['Straight']
"""Move directly ahead.""",['Straight']
"""Keep to the same path without deviation.""",['Straight']
"""Head straight on this route.""",['Straight']
"""Continue straight along this road.""",['Straight']
"""Navigate in a straight-ahead manner.""",['Straight']
"""Keep on the current path without deviation.""",['Straight']
"""Continue on the current path without turning.""",['Straight']
"""Stick to the straight path ahead.""",['Straight']
"""Drive straightforward without turning.""",['Straight']
"""Proceed straight through the next intersection.""",['Straight']
"""Drive straight through the intersection.""",['Straight']
"""Navigate straight ahead without deviation.""",['Straight']
"""Keep to the straight path ahead.""",['Straight']
"""Proceed without any sidetracks.""",['Straight']
"""Keep on the same path.""",['Straight']
"""Continue progressing without any turns.""",['Straight']
"""Drive straight on without swerving.""",['Straight']
"""Drive in a linear direction.""",['Straight']
"""Continue moving in a direct line until you reach the T-junction.""",['Straight']
"""Move onward down the street until you spot the gas station.""",['Straight']
"""Maintain your course as the road veers slightly left.""",['Straight']
"""Proceed on the current path.""",['Straight']
"""Drive onward as the road bends slightly to the right.""",['Straight']
"""Proceed in a direct path.""",['Straight']
"""Continue driving directly ahead.""",['Straight']
"""Keep moving straight on this rural road.""",['Straight']
"""Maintain your course straight ahead.""",['Straight']
"""Proceed in a linear direction without turning.""",['Straight']
"""Drive without any deviations in your path.""",['Straight']
"""Keep on the same road without any turns.""",['Straight']
"""Keep moving straight on this route.""",['Straight']
"""Continue straight through the upcoming junction.""",['Straight']
"""Drive straight through the intersection without veering.""",['Straight']
"""Stay on the current street.""",['Straight']
"""Travel forward as the road ascends the hill.""",['Straight']
"""Move onward without making a turn.""",['Straight']
"""Remain on the current route without any turns.""",['Straight']
"""Follow the road straight ahead.""",['Straight']
"""Continue without deviating from the current road.""",['Straight']
"""Keep driving in a linear direction.""",['Straight']
"""Carry on along the current path.""",['Straight']
"""Keep on the same road without any alterations.""",['Straight']
"""Drive in a straight line without swerving.""",['Straight']
"""Maintain the current course without any deviations.""",['Straight']
"""Keep moving in a linear direction along the road.""",['Straight']
"""Maintain your course in a forward direction.""",['Straight']
"""Continue without making any bends.""",['Straight']
"""Drive in a direct line forward.""",['Straight']
"""Proceed straight ahead until you reach the roundabout.""",['Straight']
"""Travel in a straight line at the next intersection.""",['Straight']
"""Continue along this route without deviation.""",['Straight']
"""Navigate ahead as the road winds through the valley.""",['Straight']
"""Drive straight through the upcoming set of lights.""",['Straight']
"""Continue in a direct line without turning.""",['Straight']
"""Proceed in a straightforward manner.""",['Straight']
"""Go straight as the road narrows.""",['Straight']
"""Stay on the current route without veering off.""",['Straight']
"""Stay on the road without making any turns.""",['Straight']
"""Travel straight without any turns.""",['Straight']
"""Stay in a forward direction without changing course.""",['Straight']
"""Remain in the straight direction.""",['Straight']
"""Drive ahead until you see the sign for the turnoff.""",['Straight']
"""Remain on the straight and narrow.""",['Straight']
"""Drive in a linear path.""",['Straight']
"""Remain on the current path.""",['Straight']
"""Stay in the current lane as it leads you straight.""",['Straight']
"""Go in a direct line forward.""",['Straight']
"""Continue driving straight.""",['Straight']
"""Follow the path straight ahead.""",['Straight']
"""Keep driving without turning.""",['Straight']
"""Drive straight without making any turns.""",['Straight']
"""Follow the straightforward path.""",['Straight']
"""Maintain a straight direction.""",['Straight']
"""Go directly ahead as the road narrows.""",['Straight']
"""Keep on the direct route forward.""",['Straight']
"""Keep following the road in a straight line.""",['Straight']
"""Carry on without swerving off the road.""",['Straight']
"""Drive along the path without any deviations.""",['Straight']
"""Advance in a linear trajectory.""",['Straight']
"""Keep driving straight along the road.""",['Straight']
"""Travel in a straight path.""",['Straight']
"""Head directly forward on this route.""",['Straight']
"""Continue on the same path without turning.""",['Straight']
"""Travel directly ahead.""",['Straight']
"""Continue in a straight line as the road widens.""",['Straight']
"""Drive forward without deviation.""",['Straight']
"""Keep on the same route.""",['Straight']
"""Carry on straight through the intersection.""",['Straight']
"""Head straight down the road.""",['Straight']
"""Stay on the current path in a direct line.""",['Straight']
"""Move straight ahead without any turns.""",['Straight']
"""Go forward without any turns.""",['Straight']
"""Follow the road without swerving.""",['Straight']
"""Drive ahead without making any turns.""",['Straight']
"""Follow the road ahead.""",['Straight']
"""Move ahead without changing direction.""",['Straight']
"""Stay on the same road without turning off.""",['Straight']
"""Drive in a straight line without any bends.""",['Straight']
"""Remain on the current path without changing direction.""",['Straight']
"""Proceed along the road without changing direction.""",['Straight']
"""Maintain a straight course of travel.""",['Straight']
"""Continue moving in a direct line without changing course.""",['Straight']
"""Continue along the current road.""",['Straight']
"""Follow the road in a straightforward manner.""",['Straight']
"""Keep moving in a direct line without changes.""",['Straight']
"""Stay on the straight and narrow path.""",['Straight']
"""Continue forward without any turns.""",['Straight']
"""Continue on the current route.""",['Straight']
"""Follow the linear direction.""",['Straight']
"""Drive forward without any turns.""",['Straight']
"""Carry on in a direct manner.""",['Straight']
"""Advance without any lateral movements.""",['Straight']
"""Maintain your course.""",['Straight']
"""Move straight through the next crossroad.""",['Straight']
"""Continue along this route in a straight line.""",['Straight']
"""Head onward along the main thoroughfare.""",['Straight']
"""Continue on the current road without deviation.""",['Straight']
"""Continue straight on this road.""",['Straight']
"""Go straight through the upcoming intersection.""",['Straight']
"""Travel ahead without turning.""",['Straight']
"""Remain on the straightforward route.""",['Straight']
"""Continue without any delays.""",['Straight']
"""Maintain a direct path.""",['Straight']
"""Drive directly through the intersection.""",['Straight']
"""Continue in a straight line ahead.""",['Straight']
"""Stay on this road as it curves to the right.""",['Straight']
"""Continue straight through the upcoming intersection.""",['Straight']
"""Follow the road in a direct path.""",['Straight']
"""Continue on the same path.""",['Straight']
"""Progress along the road in a direct line.""",['Straight']
"""Proceed ahead at the crossroads.""",['Straight']
"""Move straight along the road without any bends.""",['Straight']
"""Drive straight on this street.""",['Straight']
"""Travel along this route without turning.""",['Straight']
"""Go in a linear direction.""",['Straight']
"""Proceed along the path in a straight line.""",['Straight']
"""Move in a linear fashion.""",['Straight']
"""Progress forward without veering off.""",['Straight']
"""Move straight through the intersection.""",['Straight']
"""Travel straight along the street.""",['Straight']
"""Carry on in a straight line without turning.""",['Straight']
"""Move forward in a straightforward manner.""",['Straight']
"""Stay on the straight and narrow.""",['Straight']
"""Stay on the same path without veering.""",['Straight']
"""Proceed in a linear path without any detours.""",['Straight']
"""Remain on the same path without deviation.""",['Straight']
"""Continue in a straight line on this roadway.""",['Straight']
"""Go straight through the next turn.""",['Straight']
"""Follow the road directly in front of you.""",['Straight']
"""Continue without any changes in direction.""",['Straight']
"""Keep on the current route until you see the bridge.""",['Straight']
"""Drive in a direct line.""",['Straight']
"""Proceed along the swift route.""",['Straight']
"""Continue on this road in a direct manner.""",['Straight']
"""Continue along the road without any detours.""",['Straight']
"""Advance without turning off this route.""",['Straight']
"""Continue along the road without making any turns.""",['Straight']
"""Continue on the road without any curves.""",['Straight']
"""Travel straight ahead.""",['Straight']
"""Maintain your course straight down the road.""",['Straight']
"""Carry on in a straightforward manner.""",['Straight']
"""Proceed straight through the next intersection.""",['Straight']
"""Go straight through the intersection ahead.""",['Straight']
"""Remain on the straight path.""",['Straight']
"""Remain on this route without any turns.""",['Straight']
"""Continue onward without turning.""",['Straight']
"""Advance forward without swerving.""",['Straight']
"""Proceed straight through the small town.""",['Straight']
"""Drive straight through the next junction.""",['Straight']
"""Move straight through the upcoming bend.""",['Straight']
"""Continue following the road ahead.""",['Straight']
"""Continue straight along this street.""",['Straight']
"""Drive straight through the upcoming roundabout.""",['Straight']
"""Maintain your course without any bends.""",['Straight']
"""Follow the current path straight.""",['Straight']
"""Drive without swerving.""",['Straight']
"""Stay on the current path without veering.""",['Straight']
"""Progress in a linear manner without changing direction.""",['Straight']
"""Drive straight through the next roundabout.""",['Straight']
"""Stay on the same route without swerving.""",['Straight']
"""Keep straight on the road.""",['Straight']
"""Follow the road without any bends.""",['Straight']
"""Continue driving without any deviations.""",['Straight']
"""Keep on the road without turning.""",['Straight']
"""Remain on the current path without any changes in direction.""",['Straight']
"""Keep progressing in a straight line.""",['Straight']
"""Proceed in a linear direction at the upcoming crossroad.""",['Straight']
"""Keep to the straight road.""",['Straight']
"""Stay on this road without turning.""",['Straight']
"""Go straight without any deviations.""",['Straight']
"""Keep to the direct route through the city.""",['Straight']
"""Follow the road without making any turns.""",['Straight']
"""Move in a straight line forward.""",['Straight']
"""Continue straight along this route.""",['Straight']
"""Continue on the road without turning.""",['Straight']
"""Follow the straight path on the current road.""",['Straight']
"""Drive straight through the roundabout.""",['Straight']
"""Stay on the current course without turning.""",['Straight']
"""Travel without any obstructions.""",['Straight']
"""Carry on along this road.""",['Straight']
"""Drive ahead without any deviations.""",['Straight']
"""Drive ahead without any twists.""",['Straight']
"""Keep moving forward along the route.""",['Straight']
"""Drive in a direct line until you hit the next cross street.""",['Straight']
"""Drive forward along this route.""",['Straight']
"""Maintain the current course without turning.""",['Straight']
"""Proceed forward without making any turns.""",['Straight']
"""Proceed straight through the intersection ahead.""",['Straight']
"""Maintain a direct course forward.""",['Straight']
"""Navigate in a straight line ahead.""",['Straight']
"""Drive in a continuous line without any detours.""",['Straight']
"""Drive onward without turning.""",['Straight']
"""Continue along this route as it bends to the left.""",['Straight']
"""Proceed in a straight line through the junction.""",['Straight']
"""Remain on the same course.""",['Straight']
"""Move in a linear manner.""",['Straight']
"""Keep on this path in a linear direction.""",['Straight']
"""Stay on the path without making any turns.""",['Straight']
"""Maintain your course without any turns.""",['Straight']
"""Proceed without deviating.""",['Straight']
"""Continue straight through the intersection.""",['Straight']
"""Advance without turning.""",['Straight']
"""Move forward in a linear fashion.""",['Straight']
"""Progress forward in a linear manner.""",['Straight']
"""Move along the road in a direct line.""",['Straight']
"""Drive on in a direct line.""",['Straight']
"""Remain on the current path without any changes.""",['Straight']
"""Carry on without turning.""",['Straight']
"""Stay on the current road.""",['Straight']
"""Head directly ahead on this route.""",['Straight']
"""Keep progressing without any deviations.""",['Straight']
"""Drive ahead without any changes in direction.""",['Straight']
"""Proceed forward in a direct line.""",['Straight']
"""Drive forward on this road until you see the roundabout.""",['Straight']
"""Advance without any deviations from the route.""",['Straight']
"""Keep moving straight ahead without deviation.""",['Straight']
"""Keep to the straight path without any deviations.""",['Straight']
"""Remain on the same path.""",['Straight']
"""Go in a direct path as the road begins to incline.""",['Straight']
"""Maintain the current direction.""",['Straight']
"""Continue ahead without any turns.""",['Straight']
"""Stay on the same course.""",['Straight']
"""Keep on the current path without deviating.""",['Straight']
"""Drive straight through the next set of lights.""",['Straight']
"""Head in a forward direction without any lateral movements.""",['Straight']
"""Stay on the same route without swerving.""",['Straight']
"""Advance straight ahead.""",['Straight']
"""Stay on this path without turning.""",['Straight']
"""Stay on the straightforward route.""",['Straight']
"""Drive directly through the upcoming junction.""",['Straight']
"""Continue straight on this street.""",['Straight']
"""Maintain a direct trajectory.""",['Straight']
"""Drive straight through the four-way stop sign.""",['Straight']
"""Keep moving directly on this street.""",['Straight']
"""Maintain your course forward.""",['Straight']
"""Proceed straight as the road passes the school.""",['Straight']
"""Continue straight along this route.""",['Straight']
"""Drive straight along this street.""",['Straight']
"""Stay on the current path without any deviations.""",['Straight']
"""Continue along the direct path.""",['Straight']
"""Proceed straight without making any turns.""",['Straight']
"""Proceed in a linear path without turning.""",['Straight']
"""Proceed directly along the road.""",['Straight']
"""Keep on the straight path in front of you.""",['Straight']
"""Drive without any changes in direction.""",['Straight']
"""Drive onward without changing direction.""",['Straight']
"""Remain on the road ahead.""",['Straight']
"""Drive straight down the road without making any turns.""",['Straight']
"""Head in a direct path at the upcoming junction.""",['Straight']
"""Keep to the direct route.""",['Straight']
"""Drive without veering off course.""",['Straight']
"""Advance without any deviations.""",['Straight']
"""Go without any interruptions.""",['Straight']
"""Stay on the road without deviation.""",['Straight']
"""Continue following this road straight through the town.""",['Straight']
"""Remain on the same path ahead.""",['Straight']
"""Proceed directly through the upcoming intersection.""",['Straight']
"""Proceed in a straight line until the next direction.""",['Straight']
"""Drive straight along this road.""",['Straight']
"""Stay on the direct path without making any turns.""",['Straight']
"""Go directly ahead.""",['Straight']
"""Go straight towards the next roundabout.""",['Straight']
"""Travel in a straight direction.""",['Straight']
"""Go straight past the next intersection.""",['Straight']
"""Proceed ahead at the stop sign.""",['Straight']
"""Proceed straight past the old mill.""",['Straight']
"""Continue straight down this road.""",['Straight']
"""Remain on the straightforward trajectory.""",['Straight']
"""Navigate directly through the intersection.""",['Straight']
"""Keep moving straightforward.""",['Straight']
"""Maintain a straight course forward.""",['Straight']
"""Drive in a linear direction.""",['Straight']
"""Head in a direct line.""",['Straight']
"""Go directly through the upcoming junction.""",['Straight']
"""Continue on the current path ahead.""",['Straight']
"""Stay in the lane that leads you straight through the interchange.""",['Straight']
"""Advance straight until the next traffic light.""",['Straight']
"""Move straight through the next set of lights.""",['Straight']
"""Move straight through the upcoming intersection.""",['Straight']
"""Advance straight through the upcoming junction.""",['Straight']
"""Continue moving in a direct line.""",['Straight']
"""Stay on the road in a direct line.""",['Straight']
"""Proceed straight as the road winds through the forest.""",['Straight']
"""Keep going on the current path ahead.""",['Straight']
"""Proceed along the road without deviation.""",['Straight']
"""Proceed straight on the current road.""",['Straight']
"""Advance in a linear direction without any bends.""",['Straight']
"""Stay on the road without swerving.""",['Straight']
"""Proceed straight on this road.""",['Straight']
"""Stay on the current route without making any turns.""",['Straight']
"""Keep driving without turning off course.""",['Straight']
"""Advance along the straight path.""",['Straight']
"""Continue ahead at the upcoming crossroads.""",['Straight']
"""Travel in a linear path without deviations.""",['Straight']
"""Remain on the same trajectory.""",['Straight']
"""Travel in a linear direction until you reach the next crossroads.""",['Straight']
"""Proceed onward along the road.""",['Straight']
"""Follow the road without any changes in direction.""",['Straight']
"""Drive straight ahead until you reach the next intersection.""",['Straight']
"""Drive ahead until you reach the entrance to the park.""",['Straight']
"""Drive straight through the upcoming junction.""",['Straight']
"""Go in a direct line without turning.""",['Straight']
"""Proceed in a forward direction without turning.""",['Straight']
"""Proceed straight down the road without turning.""",['Straight']
"""Follow the road directly ahead.""",['Straight']
"""Stay on the forward path.""",['Straight']
"""Drive ahead as the road opens up into farmland.""",['Straight']
"""Drive straight without any deviations.""",['Straight']
"""Keep progressing straight ahead.""",['Straight']
"""Continue in a linear direction.""",['Straight']
"""Continue forward without any diversions.""",['Straight']
"""Drive straight past the upcoming intersection.""",['Straight']
"""Move forward without changing your direction.""",['Straight']
"""Proceed forward on this route without turning.""",['Straight']
"""Stay on this route without turning.""",['Straight']
"""Keep on the direct course.""",['Straight']
"""Drive in a straight direction ahead.""",['Straight']
"""Move onward down this street until you spot the gas station.""",['Straight']
"""Follow the road without any changes in direction.""",['Straight']
"""Keep moving in a linear manner.""",['Straight']
"""Advance in a linear direction.""",['Straight']
"""Drive forward through the intersection.""",['Straight']
"""Drive straight ahead without changing course.""",['Straight']
"""Continue along the road ahead.""",['Straight']
"""Continue forward along this road.""",['Straight']
"""Keep moving straight in a direct line.""",['Straight']
"""Proceed straight through the junction.""",['Straight']
"""Proceed directly ahead without deviation.""",['Straight']
"""Move forward without deviation.""",['Straight']
"""Carry on in a linear path.""",['Straight']
"""Carry on without changing direction.""",['Straight']
"""Keep on the current route.""",['Straight']
"""Drive in a direct path.""",['Straight']
"""Continue in a direct line without any changes.""",['Straight']
"""Drive directly through the upcoming traffic light.""",['Straight']
"""Travel on the straight road ahead.""",['Straight']
"""Proceed directly ahead at the fork in the road.""",['Straight']
"""Maintain the imminent direction.""",['Straight']
"""Proceed in a straight line.""",['Straight']
"""Continue straight without turning.""",['Straight']
"""Drive onwards without turning.""",['Straight']
"""Go in a direct path without any deviations.""",['Straight']
"""Proceed along the same path.""",['Straight']
"""Stay on the hasty trajectory.""",['Straight']
"""Move straight through the roundabout.""",['Straight']
"""Drive straight ahead without deviating.""",['Straight']
"""Drive straightforward until the next street.""",['Straight']
"""Stay on this path as it leads you through the countryside.""",['Straight']
"""Advance directly without turning.""",['Straight']
"""Remain on the instant trajectory.""",['Straight']
"""Keep going in a straight path.""",['Straight']
"""Follow the road directly ahead.""",['Straight']
"""Continue without turning off course.""",['Straight']
"""Continue moving forward without any deviations.""",['Straight']
"""Move ahead without making any turns.""",['Straight']
"""Proceed straight through the intersection.""",['Straight']
"""Go forward in a straight line.""",['Straight']
"""Continue in a direct line.""",['Straight']
"""Carry on in a direct line.""",['Straight']
"""Head straight without any deviations.""",['Straight']
"""Keep on the same direct route.""",['Straight']
"""Move in a straight direction.""",['Straight']
"""Continue forward on the same road.""",['Straight']
"""Drive forward without deviating from the path.""",['Straight']
"""Continue in a straight line.""",['Straight']
"""Drive straight through the next intersection.""",['Straight']
"""Keep going straight through the intersection.""",['Straight']
"""Keep moving straight ahead.""",['Straight']
"""Move ahead in a straightforward manner.""",['Straight']
"""Drive onward without any changes in direction.""",['Straight']
"""Continue in a straight manner.""",['Straight']
"""Drive in a linear direction without swerving.""",['Straight']
"""Head straight through the intersection.""",['Straight']
"""Stick to the immediate course.""",['Straight']
"""Drive in a direct manner without turning.""",['Straight']
"""Drive in a straight-line fashion.""",['Straight']
"""Drive without making any twists.""",['Straight']
"""Advance in a direct manner.""",['Straight']
"""Stay on course without any deviations in your path.""",['Straight']
"""Proceed ahead through the next intersection.""",['Straight']
"""Go straight through the approaching junction.""",['Straight']
"""Drive ahead without veering off course.""",['Straight']
"""Proceed without any swerves.""",['Straight']
"""Drive in a direct manner without swerving.""",['Straight']
"""Stay the course in a straight line.""",['Straight']
"""Stay on the direct course.""",['Straight']
"""Keep moving forward without any left or right movements.""",['Straight']
"""Drive along the straight path.""",['Straight']
"""Continue straight past the upcoming turn.""",['Straight']
"""Carry on in a straight line.""",['Straight']
"""Continue straight ahead.""",['Straight']
"""Continue forward without changing direction.""",['Straight']
"""Move along the straight path.""",['Straight']
"""Advance straight through the junction.""",['Straight']
"""Maintain the current course without any turns.""",['Straight']
"""Proceed forward along the path.""",['Straight']
"""Go straight towards the upcoming roundabout.""",['Straight']
"""Continue along the current route without turning.""",['Straight']
"""Travel straight along this road.""",['Straight']
"""Drive directly forward on this street.""",['Straight']
"""Go forward without swerving.""",['Straight']
"""Proceed straight along this road.""",['Straight']
"""Drive straight along this route without turning.""",['Straight']
"""Travel straight ahead without any changes in direction.""",['Straight']
"""Follow the road ahead to the next crossroad.""",['Straight']
"""Move forward in a linear direction.""",['Straight']
"""Stay on the course ahead.""",['Straight']
"""Stay on the current road ahead.""",['Straight']
"""Continue straight through the next intersection.""",['Straight']
"""Keep on the imminent path.""",['Straight']
"""Go in a straight trajectory.""",['Straight']
"""Continue driving without turning.""",['Straight']
"""Stick to the prompt path.""",['Straight']
"""Continue in a straight line past the pedestrian crossing.""",['Straight']
"""Keep on the direct path forward.""",['Straight']
"""Drive in a linear fashion.""",['Straight']
"""Head straight at the upcoming turn.""",['Straight']
"""Keep to the straight path.""",['Straight']
"""Stay on course without turning.""",['Straight']
"""Drive along this avenue without making any turns.""",['Straight']
"""Drive without making any turns.""",['Straight']
"""Stay on this road without any turns.""",['Straight']
"""Continue onward in a direct line.""",['Straight']
"""Navigate straight through the junction.""",['Straight']
"""Travel straight ahead on the road.""",['Straight']
"""Stay on the same road.""",['Straight']
"""Stay on this path until you reach the railway crossing.""",['Straight']
"""Proceed without changing direction.""",['Straight']
"""Carry on driving straight as the road changes from asphalt to gravel.""",['Straight']
"""Stay on this street in a direct line.""",['Straight']
"""Stay in your current lane.""",['Straight']
"""Move forward without turning.""",['Straight']
"""Follow the road ahead in a linear manner.""",['Straight']
"""Continue driving in a straight line.""",['Straight']
"""Keep to the straight path without turning.""",['Straight']
"""Remain on the current path going forward.""",['Straight']
"""Move forward without any turns.""",['Straight']
"""Drive forward without turning.""",['Straight']
"""Follow the road straight.""",['Straight']
"""Carry on along this route.""",['Straight']
"""Keep to the current route without any alterations.""",['Straight']
"""Drive ahead without any curves.""",['Straight']
"""Move forward on the same road.""",['Straight']
"""Maintain the course in a direct line.""",['Straight']
"""Go forward along the road.""",['Straight']
"""Proceed in a straightforward manner.""",['Straight']
"""Stay on the same path without swerving.""",['Straight']
"""Continue progressing in a direct line.""",['Straight']
"""Keep on the current course.""",['Straight']
"""Move straight along the current road.""",['Straight']
"""Keep moving in a straight direction.""",['Straight']
"""Stay on this route without any deviations.""",['Straight']
"""Stay on the main road ahead.""",['Straight']
"""Go straight ahead along the road.""",['Straight']
"""Maintain the straight trajectory.""",['Straight']
"""Navigate straight through the intersection.""",['Straight']
"""Drive straight on the road.""",['Straight']
"""Drive straight down the road.""",['Straight']
"""Navigate forward without turning.""",['Straight']
"""Proceed in a direct line towards your destination.""",['Straight']
"""Go directly through the next junction.""",['Straight']
"""Keep moving straight.""",['Straight']
"""Drive straight ahead on this street.""",['Straight']
"""Maintain a course in a straight line.""",['Straight']
"""Drive on the road without any turns.""",['Straight']
"""Move in a direct line without any deviations.""",['Straight']
"""Drive in a straight direction.""",['Straight']
"""Continue along the road in a straight line.""",['Straight']
"""Proceed without changing course.""",['Straight']
"""Stay on this road in a direct line.""",['Straight']
"""Carry on without veering off the road.""",['Straight']
"""Continue on this same path.""",['Straight']
"""Remain in the straight direction without turning.""",['Straight']
"""Proceed on this route in a straight line.""",['Straight']
"""Remain on the current route ahead.""",['Straight']
"""Go straight through the upcoming bend.""",['Straight']
"""Navigate straight ahead on this route.""",['Straight']
"""Travel in a linear direction.""",['Straight']
"""Remain on the current road without turning.""",['Straight']
"""Travel forward in a linear path.""",['Straight']
"""Move straight without any turns.""",['Straight']
"""Go ahead without turning.""",['Straight']
"""Proceed straight ahead without turning.""",['Straight']
"""Continue progressing without any left or right turns.""",['Straight']
"""Navigate straight through the next intersection.""",['Straight']
"""Proceed in a straight line ahead.""",['Straight']
"""Drive in a direct line through the intersection.""",['Straight']
"""Stay on the same route without turning.""",['Straight']
"""Stay on this roadway without turning.""",['Straight']
"""Stay on this path forward.""",['Straight']
"""Advance ahead without any deviations from the path.""",['Straight']
"""Carry on without making any turns.""",['Straight']
"""Drive in a straight line ahead.""",['Straight']
"""Continue forward until you see the road sign for the turn.""",['Straight']
"""Proceed along the road without any changes in direction.""",['Straight']
"""Continue along the path.""",['Straight']
"""Stay on the current route.""",['Straight']
"""Proceed without turning off.""",['Straight']
"""Keep moving in a straight line.""",['Straight']
"""Proceed in a direct line.""",['Straight']
"""Maintain your heading without any left or right turns.""",['Straight']
"""Remain on the same road without turning.""",['Straight']
"""Carry on straight through the roundabout.""",['Straight']
"""Navigate in a straight direction.""",['Straight']
"""Keep on the current road.""",['Straight']
"""Proceed straight ahead.""",['Straight']
"""Stay on the direct route.""",['Straight']
"""Proceed along the road without veering.""",['Straight']
"""Follow the road without turning.""",['Straight']
"""Proceed straight on the street.""",['Straight']
"""Travel straightforward without any curves.""",['Straight']
"""Keep on the straight path without any turns.""",['Straight']
"""Drive straight without veering off.""",['Straight']
"""Carry on along the route.""",['Straight']
"""Keep on the direct path.""",['Straight']
